coin,side,entry_ts,exit_ts,R,day
SOLUSDT,long,1731024180000,1731215160000,3.0,1731024000000
SOLUSDT,long,1732241160000,1732301460000,-1.0,1732233600000
SOLUSDT,long,1732933800000,1732978800000,-1.0,1732924800000
SOLUSDT,short,1733792580000,1733800680000,3.0,1733788800000
SOLUSDT,short,1733843880000,1733889060000,-1.0,1733788800000
SOLUSDT,short,1734538500000,1734552360000,3.0,1734480000000
SOLUSDT,long,1735981380000,1735985160000,-1.0,1735948800000
SOLUSDT,short,1736439480000,1736444880000,3.0,1736380800000
SOLUSDT,long,1737576180000,1737596700000,-1.0,1737504000000
SOLUSDT,short,1738738980000,1738855800000,3.0,1738713600000
SOLUSDT,short,1739758140000,1739765880000,3.0,1739750400000
SOLUSDT,short,1740212100000,1740217500000,-1.0,1740182400000
SOLUSDT,short,1741575780000,1741598100000,-1.0,1741564800000
SOLUSDT,short,1741703040000,1741710600000,-1.0,1741651200000
SOLUSDT,short,1743783840000,1743785640000,-1.0,1743724800000
SOLUSDT,short,1744160940000,1744179120000,-1.0,1744156800000
